Locus	Name	Definition	MolType	MolStruct	Taxonomy	DB_origin	Length	prophage	nb_prot	GC	nb_PhROGs	nb_Sing	nb_Paralog	Host name	Superkingdom	phylum	class	order	family	genus	species	Full taxo	Full taxo with lvl
KJ019090	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US24, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	224948	undef	286	41.59	264	1	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019102	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US43, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	224791	undef	283	41.61	260	0	23	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019143	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C12, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	224502	undef	289	41.59	268	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019092	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US2, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	224378	undef	285	41.62	261	1	23	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019151	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C24, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	224313	undef	284	41.54	263	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019106	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US50, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	223389	undef	288	41.59	264	2	22	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019058	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C8, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	223270	undef	287	41.6	262	1	24	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019149	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C21, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	222893	undef	285	41.59	263	1	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019098	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US39, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	222767	undef	286	41.62	264	0	22	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019095	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US34, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	222709	undef	293	41.55	262	2	29	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019142	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C11, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	222619	undef	281	41.57	259	1	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019085	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US13, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	222326	undef	281	41.54	258	2	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019147	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C17, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	222322	undef	284	41.58	262	0	22	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019141	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C10, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	222089	undef	283	41.58	260	1	22	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019093	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US30, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	222009	undef	285	41.56	264	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019155	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C29, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	221967	undef	282	41.57	261	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019111	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US57, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	221929	undef	281	41.57	260	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019097	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US37, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	221746	undef	294	41.5	271	0	23	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019152	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C25, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	221396	undef	289	41.53	268	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019123	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US7, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	219936	undef	280	41.58	257	1	22	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019096	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US36, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	219775	undef	289	41.5	269	0	20	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019099	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US3, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	218152	undef	287	41.55	266	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019103	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US44, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	217937	undef	286	41.55	266	0	20	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019107	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US52, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	217673	undef	278	41.54	257	1	20	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019101	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US42, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	216994	undef	289	41.5	267	1	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019052	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C7, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	216628	undef	286	41.57	265	1	20	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019100	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US40, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	216273	undef	284	41.52	263	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
NC_031927	Synechococcus phage S-CAM7	Synechococcus phage S-CAM7 isolate 0910CC49, complete genome.	DNA	linear	Viruses; unclassified bacterial viruses	REFSEQ	216121	undef	266	41.17	228	25	13	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
KJ019066	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C9, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	215767	undef	289	41.56	268	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019105	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US4, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	215432	undef	283	41.56	263	0	20	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019144	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C14, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	214751	undef	280	41.53	261	0	19	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KU686213	Synechococcus phage S-CAM7	Synechococcus phage S-CAM7 isolate 0910SB42, complete genome.	DNA	linear	Viruses; unclassified bacterial viruses	BACT_NUCCORE_ENPLUS	214214	undef	262	41.26	227	21	14	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
NC_020851	Synechococcus phage S-SKS1	Synechococcus phage S-SKS1 genomic sequence.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae	REFSEQ	208007	undef	281	36.02	189	79	13	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
MF351863	Synechococcus phage Bellamy	Synechococcus phage Bellamy, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	BACT_NUCCORE_ENPLUS	204930	undef	269	41.1	208	35	26	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
NC_031906	Synechococcus phage S-CAM3	Synechococcus phage S-CAM3 isolate 1010CC42, complete genome.	DNA	linear	Viruses; unclassified bacterial viruses	REFSEQ	198190	undef	240	41.55	224	1	15	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
NC_020837	Synechococcus phage S-CAM1	Synechococcus phage S-CAM1 genomic sequence.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	REFSEQ	198013	undef	231	43.02	212	2	17	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
KX349293	Cyanophage S-RIM44	Cyanophage S-RIM44 isolate Np_20_0711, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales	BACT_NUCCORE_ENPLUS	197868	undef	236	40.34	215	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
